date,authortitle,url,event,author,title,thumb_url,description,published_date,tags,neat_name
Dec 2019,"Sheila Marie Orfano: Why should you read ""The Joy Luck Club"" by Amy Tan?",https://download.ted.com/talks/SheilaMarieOrfano_JoyLuckClub_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Sheila Marie Orfano,"Why should you read ""The Joy Luck Club"" by Amy Tan?",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/96e8a309-eace-4dc6-81ba-4e64db6b94b0/joylucktextless.jpg,,,,sheila_marie_orfano_why_should_you_read_the_joy_luck_club_by_amy_tan_
Nov 2019,"LaToya Ruby Frazier: A creative solution for the water crisis in Flint, Michigan",https://download.ted.com/talks/LaToyaRubyFrazier_2019S-480p.mp4?apikey=TEDDOWNLOAD,We the Future,LaToya Ruby Frazier,"A creative solution for the water crisis in Flint, Michigan",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/4c5323b6-a976-41d6-adbd-5b5f815c96ed/LaToyaRubyFrazier_2019S-embed.jpg,,,,latoya_ruby_frazier_a_creative_solution_for_the_water_crisis_in_flint_michigan
Nov 2019,Bhakti Sharma: What open water swimming taught me about resilience,https://download.ted.com/talks/BhaktiSharma_2019I-480p.mp4?apikey=TEDDOWNLOAD,TED Talks India: Nayi Baat,Bhakti Sharma,What open water swimming taught me about resilience,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/8137e33c-8b87-4b9b-bda7-4f5613269791/BhaktiSharma_2019S-embed.jpg,,,,bhakti_sharma_what_open_water_swimming_taught_me_about_resilience
Oct 2019,Bjarke Ingels: An architect's guide to living on Mars,https://download.ted.com/talks/BjarkeIngels_2019U-480p.mp4?apikey=TEDDOWNLOAD,TED2019,Bjarke Ingels,An architect's guide to living on Mars,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/929fe09a-737f-4cb2-9096-7e4bb935a34c/BjarkeIngels_2019U-embed.jpg,,,,bjarke_ingels_an_architect_s_guide_to_living_on_mars
Oct 2019,Mohammad Modarres: Why you should shop at your local farmers market,https://download.ted.com/talks/MohammadModarres_2019S-480p.mp4?apikey=TEDDOWNLOAD,TED Residency,Mohammad Modarres,Why you should shop at your local farmers market,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/6ba45811-1d66-4cfc-a8e7-a26062e8a03d/MohammadModarres_2019S-embed.jpg,,,,mohammad_modarres_why_you_should_shop_at_your_local_farmers_market
Sep 2019,Lorin Swint Matthews: The dust bunnies that built our planet,https://download.ted.com/talks/LorinMatthews_CosmicDust_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Lorin Swint Matthews,The dust bunnies that built our planet,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/59cd2fd3-2ed8-4b5f-9b08-183d36d10a99/cosmicdust_textless.jpg,,,,lorin_swint_matthews_the_dust_bunnies_that_built_our_planet
Aug 2019,Judy Cebra-Thomas: How turtle shells evolved... twice,https://download.ted.com/talks/JudyCebraThomas_TurtleShells_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Judy Cebra-Thomas,How turtle shells evolved... twice,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/be69992f-cf53-4da1-b656-4282e9b7ec47/turtleshells_textless.jpg,,,,judy_cebra_thomas_how_turtle_shells_evolved_twice
Jul 2019,"Emma Lazarus: ""New Colossus""",https://download.ted.com/talks/EmmaLazarus_NewColossus_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Emma Lazarus,"""New Colossus""",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/991cbd73-c652-4a09-8604-05e70e235f94/NewColossus_textless.jpg,,,,emma_lazarus_new_colossus_
Jun 2019,"Emeli Sandé: ""You Are Not Alone"" / ""Extraordinary Being"" / ""Shine""",https://download.ted.com/talks/EmeliSande_2019-480p.mp4?apikey=TEDDOWNLOAD,TED2019,Emeli Sandé,"""You Are Not Alone"" / ""Extraordinary Being"" / ""Shine""",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/452a9abd-24c8-4d6e-8e44-776b30486649/EmeliSande_2019-embed.jpg,,,,emeli_sand_you_are_not_alone_extraordinary_being_shine_
May 2019,"Baratunde Thurston: How to deconstruct racism, one headline at a time",https://download.ted.com/talks/BaratundeThurston_2019-480p.mp4?apikey=TEDDOWNLOAD,TED2019,Baratunde Thurston,"How to deconstruct racism, one headline at a time",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/1bc0a4be-9915-4be9-8f33-fce405fb17c8/BaratundeThurston_2019-embed.jpg,,,,baratunde_thurston_how_to_deconstruct_racism_one_headline_at_a_time
May 2019,"Alex Gendler: Why should you read ""Crime and Punishment""?",https://download.ted.com/talks/AlexGendler_CrimeandPunishment_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Alex Gendler,"Why should you read ""Crime and Punishment""?",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/0c6f66fa-1ae5-4710-bf73-82afa46818c9/crimeandpunishment_textless.jpg,,,,alex_gendler_why_should_you_read_crime_and_punishment_
Apr 2019,Danielle N. Lee: How hip-hop helps us understand science,https://download.ted.com/talks/DanielleNLee_2019U-480p.mp4?apikey=TEDDOWNLOAD,TED2019,Danielle N. Lee,How hip-hop helps us understand science,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/3060dca6-1cb1-4fdd-b18d-23ff89568a7c/DanielleNLee_2019U-embed.jpg,,,,danielle_n_lee_how_hip_hop_helps_us_understand_science
Mar 2019,Michelle Mehrtens: The historic women's suffrage march on Washington,https://download.ted.com/talks/MichelleMehrtens_SuffrageParade_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Michelle Mehrtens,The historic women's suffrage march on Washington,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/480fd21c-4565-443a-bdc2-1e1b14ab015a/suffrage_march_textless.jpg,,,,michelle_mehrtens_the_historic_women_s_suffrage_march_on_washington
Feb 2019,Steven Petrow: 3 ways to practice civility,https://download.ted.com/talks/StevenPetrow_2019S-480p.mp4?apikey=TEDDOWNLOAD,TED Salon Doha Debates,Steven Petrow,3 ways to practice civility,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/a862b14e-23af-427a-b960-1e6d45fe501a/StevenPetrow_2019S-embed.jpg,,,,steven_petrow_3_ways_to_practice_civility
Jan 2019,"Mai Lan: ""Autopilote"" / ""Pumper""",https://download.ted.com/talks/MaiLan_2018S-480p.mp4?apikey=TEDDOWNLOAD,TED Salon Samsung,Mai Lan,"""Autopilote"" / ""Pumper""",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/8b3941ec-dee9-4840-b154-8b1579dacac5/MaiLan_2018S-embed.jpg,,,,mai_lan_autopilote_pumper_
Jan 2019,Alex Gendler: Can you solve the multiplying rabbits riddle?,https://download.ted.com/talks/AlexGendler_ZeroTrianglePuzzle_2018E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Alex Gendler,Can you solve the multiplying rabbits riddle?,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/84667cd3-c8c0-473a-8271-eff1bdf30e1f/trianglezero_textless_logo.jpg,,,,alex_gendler_can_you_solve_the_multiplying_rabbits_riddle_
Dec 2018,Carla Harris: How to find the person who can help you get ahead at work,https://download.ted.com/talks/CarlaHarris_2018W-480p.mp4?apikey=TEDDOWNLOAD,TEDWomen 2018,Carla Harris,How to find the person who can help you get ahead at work,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/90354933-011a-4692-ab14-5326c7b40bfe/CarlaHarris_2018W-embed.jpg,,,,carla_harris_how_to_find_the_person_who_can_help_you_get_ahead_at_work
Nov 2018,Melvin Sanicas: Why is meningitis so dangerous?,https://download.ted.com/talks/MelvinSanicas_Meningitis_2018E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Melvin Sanicas,Why is meningitis so dangerous?,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/6fa28fac-c2fb-41bd-a5b1-cf320b594a18/meningitis_textless.jpg,,,,melvin_sanicas_why_is_meningitis_so_dangerous_
Oct 2018,Rebecca Onie: What Americans agree on when it comes to health,https://download.ted.com/talks/RebeccaOnie_2018S-480p.mp4?apikey=TEDDOWNLOAD,TED Salon Optum,Rebecca Onie,What Americans agree on when it comes to health,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/20f42e34-e507-41db-a453-9496294deed7/RebeccaOnie_2018S-embed.jpg,,,,rebecca_onie_what_americans_agree_on_when_it_comes_to_health
Sep 2018,Kaitlyn Sadtler: How we could teach our bodies to heal faster,https://download.ted.com/talks/KaitlynSadtler_2018U-480p.mp4?apikey=TEDDOWNLOAD,TED2018,Kaitlyn Sadtler,How we could teach our bodies to heal faster,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/5f48845c-62b5-406d-a26d-c52d36bf4a15/KaitlynSadtler_2018U-embed.jpg,,,,kaitlyn_sadtler_how_we_could_teach_our_bodies_to_heal_faster
Dec 2019,Emma Bryce: The power of the placebo effect,https://download.ted.com/talks/EmmaBryce_Placebo_2016E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Emma Bryce,The power of the placebo effect,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/36674b05-176a-4852-8f12-d63e3b91e0e7/1601_07_A_16x9Thumb_Textless.jpg,,,,emma_bryce_the_power_of_the_placebo_effect
Aug 2018,Leticia Gasca: Una nueva manera de hablar del fracaso en los negocios,https://download.ted.com/talks/LeticiaGasca_TEDenEspanol_2018S-480p.mp4?apikey=TEDDOWNLOAD,TED en Español en NYC,Leticia Gasca,Una nueva manera de hablar del fracaso en los negocios,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/6eba393f-6ba2-45ea-9f65-e826bebc5840/LeticiaGasca_TEDenEspanol_2018S-embed.jpg,,,,leticia_gasca_una_nueva_manera_de_hablar_del_fracaso_en_los_negocios
Jun 2018,Iseult Gillespie: The Irish myth of the Giant's Causeway,https://download.ted.com/talks/IseultGillespie_GiantsCauseway_2018E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Iseult Gillespie,The Irish myth of the Giant's Causeway,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/78acbec6-ef10-4149-93c3-184f81148edd/giants_textless.jpg,,,,iseult_gillespie_the_irish_myth_of_the_giant_s_causeway
May 2018,Michael Hendryx: The shocking danger of mountaintop removal -- and why it must end,https://download.ted.com/talks/MichaelHendryx_2017P-480p.mp4?apikey=TEDDOWNLOAD,TEDMED 2017,Michael Hendryx,The shocking danger of mountaintop removal -- and why it must end,,,,,michael_hendryx_the_shocking_danger_of_mountaintop_removal_and_why_it_must_end
Apr 2018,Diane Wolk-Rogers: A Parkland teacher's homework for us all,https://download.ted.com/talks/DianeWolkRogers_2018-480p.mp4?apikey=TEDDOWNLOAD,TED2018,Diane Wolk-Rogers,A Parkland teacher's homework for us all,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/dc23802e-b4da-4af0-bb47-f81c97cd9506/DianeWolkRogers_2018-embed.jpg,,,,diane_wolk_rogers_a_parkland_teacher_s_homework_for_us_all
Mar 2018,Naomi Klein: How shocking events can spark positive change,https://download.ted.com/talks/NaomiKlein_2017G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal,Naomi Klein,How shocking events can spark positive change,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/97f91906-86b7-439f-94fe-a824b85010fc/NaomiKlein_2017G-embed.jpg,,,,naomi_klein_how_shocking_events_can_spark_positive_change
Feb 2018,Marco Alverà: The surprising ingredient that makes businesses work better,https://download.ted.com/talks/MarcoAlvera_2017S-480p.mp4?apikey=TEDDOWNLOAD,TED@BCG Milan,Marco Alverà,The surprising ingredient that makes businesses work better,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/2637bf80-b92a-4bcb-9381-7f140b49077d/MarcoAlvera_2017S-embed.jpg,,,,marco_alver_the_surprising_ingredient_that_makes_businesses_work_better
Feb 2018,Erick Brethenoux: The big data behind complex human emotions ,https://download.ted.com/talks/ErickBrethenoux_2014S-480p.mp4?apikey=TEDDOWNLOAD,TED@IBM,Erick Brethenoux,The big data behind complex human emotions ,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/6a749751-5674-4d8b-95c4-07ed22f5c9db/ErickBrethenoux_2014S-embed.jpg,,,,erick_brethenoux_the_big_data_behind_complex_human_emotions_
Jan 2018,Fredros Okumu: Why I study the most dangerous animal on earth -- mosquitoes,https://download.ted.com/talks/FredrosOkumu_2017G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2017,Fredros Okumu,Why I study the most dangerous animal on earth -- mosquitoes,,,,,fredros_okumu_why_i_study_the_most_dangerous_animal_on_earth_mosquitoes
Jan 2018,Sue Jaye Johnson: What we don't teach kids about sex,https://download.ted.com/talks/SueJayeJohnson_2017S-480p.mp4?apikey=TEDDOWNLOAD,TED Residency,Sue Jaye Johnson,What we don't teach kids about sex,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/2692ed2e-7b01-44fc-8de4-b8522baa13e1/SueJayeJohnson_2017S-embed.jpg,,,,sue_jaye_johnson_what_we_don_t_teach_kids_about_sex
Dec 2017,Philipp Gerbert: The basics of AI for business,https://download.ted.com/talks/PhilippGerbert_2017S-480p.mp4?apikey=TEDDOWNLOAD,TED@BCG Milan,Philipp Gerbert,The basics of AI for business,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/065798b5-6662-4596-94c2-dafba12dee21/PhilippGerbert_2017S-embed.jpg,,,,philipp_gerbert_the_basics_of_ai_for_business
Oct 2017,Nikki Webber Allen: Don't suffer from your depression in silence,https://download.ted.com/talks/NikkiWebberAllen_2017S-480p.mp4?apikey=TEDDOWNLOAD,TED Residency,Nikki Webber Allen,Don't suffer from your depression in silence,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/c8838f5a-8c36-41e6-ab47-8bb41204e17e/NikkiWebberAllen_2017S-embed.jpg,,,,nikki_webber_allen_don_t_suffer_from_your_depression_in_silence
Sep 2017,Ray Dalio: How to build a company where the best ideas win,https://download.ted.com/talks/RayDalio_2017-480p.mp4?apikey=TEDDOWNLOAD,TED2017,Ray Dalio,How to build a company where the best ideas win,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/59742aeb-aee5-41bc-ba7e-d30e7f94a172/RayDalio_2017-embed.jpg,What if you knew what your coworkers really thought about you and what they were really like? Ray Dalio makes the business case for using radical transparency and algorithmic decision-making to create an idea meritocracy where people can speak up and say what they really think -- even calling out the boss is fair game. Learn more about how these strategies helped Dalio create one of the world's most successful hedge funds and how you might harness the power of data-driven group decision-making.,1504709317.0,"['algorithm', 'business', 'collaboration', 'communication', 'decision-making', 'innovation', 'investment', 'leadership', 'personal growth', 'technology', 'work']",ray_dalio_how_to_build_a_company_where_the_best_ideas_win
Jul 2017,"Jennifer Pluznick: You smell with your body, not just your nose",https://download.ted.com/talks/JenniferPluznick_2016P-480p.mp4?apikey=TEDDOWNLOAD,TEDMED 2016,Jennifer Pluznick,"You smell with your body, not just your nose",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/1707b66c-fb5c-4569-b2c9-62742864f7f4/JenniferPluznick_2016P-embed.jpg,"Do your kidneys have a sense of smell? Turns out, the same tiny scent detectors found in your nose are also found in some pretty unexpected places -- like your muscles, kidneys and even your lungs. In this quick talk (filled with weird facts), physiologist Jennifer Pluznick explains why they're there and what they do.",1501167162.0,"['Human body', 'Senses', 'TEDMED', 'biology', 'biomechanics', 'discovery', 'health', 'medical research', 'medicine', 'nature', 'physiology', 'science', 'smell']",jennifer_pluznick_you_smell_with_your_body_not_just_your_nose
Jun 2017,Rhiannon Giddens: Songs that bring history to life,https://download.ted.com/talks/RhiannonGiddens_2016-480p.mp4?apikey=TEDDOWNLOAD,TED2016,Rhiannon Giddens,Songs that bring history to life,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/9997f4a7-92c2-4e4a-a803-550ad98e21ef/RhiannonGiddens_2016-embed.jpg,"Rhiannon Giddens pours the emotional weight of American history into her music. Listen as she performs traditional folk ballads -- including ""Waterboy,"" ""Up Above My Head,"" and ""Lonesome Road"" by Sister Rosetta Tharp -- and one glorious original song, ""Come Love Come,"" inspired by Civil War-era slave narratives.",1496400857.0,"['history', 'live music', 'music']",rhiannon_giddens_songs_that_bring_history_to_life
Aug 2006,Mena Trott: Meet the founder of the blog revolution,https://download.ted.com/talks/MenaTrott_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Mena Trott,Meet the founder of the blog revolution,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/3_480x360.jpg,"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.",1156464660.0,"['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",mena_trott_meet_the_founder_of_the_blog_revolution
Aug 2006,Ze Frank: Nerdcore comedy,https://download.ted.com/talks/ZeFrank_2004-480p.mp4?apikey=TEDDOWNLOAD,TED2004,Ze Frank,Nerdcore comedy,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f640064c612bf2b53369e0c7b81554a904ed5a93_2880x1620.jpg,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",1156464660.0,"['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",ze_frank_nerdcore_comedy
Oct 2020,Nathan D. Horowitz: The Amazonian myth of the goblins' revenge,https://download.ted.com/talks/NathanielHorowitz_SiekopaiMyth_2020E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Nathan D. Horowitz,The Amazonian myth of the goblins' revenge,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/690bdeac-06a4-4ab0-a679-2a5f00daa9aa/Seikopai_Tumbnail_01.jpg,,,,nathan_d_horowitz_the_amazonian_myth_of_the_goblins_revenge
Oct 2020,Nirupa Rao: An illustrated kingdom of fantastical plants,https://download.ted.com/talks/NirupaRao_2020X-480p.mp4?apikey=TEDDOWNLOAD,TEDxGateway,Nirupa Rao,An illustrated kingdom of fantastical plants,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/ca20d311-4929-49e3-943d-774a7a817ff9/NirupaRao_2020X-embed.jpg,,,,nirupa_rao_an_illustrated_kingdom_of_fantastical_plants
Feb 2020,"Joel Leon: The beautiful, hard work of co-parenting",https://download.ted.com/talks/JoelLeon_2019W-480p.mp4?apikey=TEDDOWNLOAD,TEDWomen 2019,Joel Leon,"The beautiful, hard work of co-parenting",https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/4912d572-c45f-49e9-8b5a-f65759e6b978/JoelLeon_2019W-embed.jpg,,,,joel_leon_the_beautiful_hard_work_of_co_parenting
Feb 2020,Matthew A. Wilson: The health benefits of clowning around,https://download.ted.com/talks/MatthewAWilson_2019S-480p.mp4?apikey=TEDDOWNLOAD,TED Residency,Matthew A. Wilson,The health benefits of clowning around,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/e406e478-5d08-4c20-a215-571eac0de893/MatthewAWilson_2019S-embed.jpg,,,,matthew_a_wilson_the_health_benefits_of_clowning_around
